Date,High,Close,Low,Index
2015/6/12,"8,017.38","7,984.43","7,897.00",704
2015/6/15,"8,018.94","7,830.24","7,811.42",705
2015/6/16,"7,748.18","7,549.98","7,480.39",706
2015/6/17,"7,709.65","7,686.79","7,334.11",707
2015/6/18,"7,702.75","7,411.91","7,404.79",708
2015/6/19,"7,331.23","6,943.04","6,939.90",709
2015/6/23,"7,049.03","7,048.74","6,572.39",710
2015/6/24,"7,196.05","7,195.78","6,989.82",711
2015/6/25,"7,237.39","6,932.39","6,855.78",712
2015/6/26,"6,746.02","6,377.07","6,331.78",713
2015/6/29,"6,519.88","6,044.16","5,874.54",714
2015/6/30,"6,379.31","6,374.83","5,693.22",715
2015/7/1,"6,482.67","6,038.69","6,019.18",716
2015/7/2,"6,064.56","5,725.83","5,638.61",717
2015/7/3,"5,780.63","5,390.68","5,294.28",718
2015/7/6,"5,789.07","5,353.86","5,175.20",719
2015/7/7,"5,230.36","5,145.51","5,022.71",720
2015/7/8,"4,968.30","4,900.42","4,832.77",721
2015/7/9,"5,166.03","5,144.13","4,789.57",722
2015/7/10,"5,434.99","5,386.22","5,188.12",723
2015/7/13,"5,643.35","5,598.64","5,448.41",724
2015/7/14,"5,770.79","5,610.20","5,549.79",725
2015/7/15,"5,614.12","5,375.38","5,324.39",726
2015/7/16,"5,540.96","5,437.81","5,168.30",727
2015/7/17,"5,733.79","5,691.55","5,460.79",728
2015/7/20,"5,846.09","5,768.49","5,658.38",729
2015/7/21,"5,876.19","5,830.52","5,656.37",730
2015/7/22,"5,892.76","5,869.74","5,739.41",731
2015/7/23,"6,044.36","6,026.95","5,855.04",732
2015/7/24,"6,121.44","5,940.26","5,897.02",733
2015/7/27,"5,956.15","5,478.88","5,476.94",734
2015/7/28,"5,543.41","5,375.72","5,150.57",735
2015/7/29,"5,591.85","5,590.31","5,280.03",736
2015/7/30,"5,671.85","5,433.40","5,412.87",737
2015/7/31,"5,485.03","5,380.01","5,314.00",738
2015/8/3,"5,353.51","5,270.29","5,178.12",739
2015/8/4,"5,507.72","5,507.63","5,250.39",740
2015/8/5,"5,568.00","5,433.98","5,398.50",741
2015/8/6,"5,470.49","5,400.55","5,310.25",742
2015/8/7,"5,555.91","5,547.11","5,443.84",743
2015/8/10,"5,838.96","5,811.70","5,592.02",744
2015/8/11,"5,893.69","5,822.53","5,776.74",745
2015/8/12,"5,850.97","5,748.50","5,747.14",746
2015/8/13,"5,871.54","5,871.15","5,681.57",747
2015/8/14,"5,960.02","5,898.59","5,860.81",748
2015/8/17,"5,965.40","5,963.36","5,828.90",749
2015/8/18,"5,984.87","5,561.44","5,547.49",750
2015/8/19,"5,702.88","5,674.28","5,279.70",751
2015/8/20,"5,691.62","5,490.65","5,490.65",752
2015/8/21,"5,465.02","5,215.02","5,199.24",753
2015/8/24,"5,017.41","4,788.04","4,781.26",754
2015/8/25,"4,607.51","4,442.48","4,423.78",755
2015/8/26,"4,611.55","4,334.14","4,257.86",756
2015/8/27,"4,531.39","4,530.14","4,282.04",757
2015/8/28,"4,770.00","4,764.94","4,563.53",758
2015/8/31,"4,724.86","4,684.96","4,590.20",759
2015/9/1,"4,608.46","4,529.78","4,425.97",760
2015/9/2,"4,589.50","4,466.57","4,317.28",761
2015/9/7,"4,598.50","4,421.33","4,394.09",762
2015/9/8,"4,582.81","4,575.43","4,333.48",763
2015/9/9,"4,731.52","4,701.48","4,581.77",764
2015/9/10,"4,710.37","4,637.70","4,609.95",765
2015/9/11,"4,689.82","4,657.70","4,595.66",766
2015/9/14,"4,696.70","4,450.35","4,379.27",767
2015/9/15,"4,401.95","4,245.27","4,227.99",768
2015/9/16,"4,521.19","4,490.13","4,233.03",769
2015/9/17,"4,589.46","4,407.82","4,407.82",770
2015/9/18,"4,477.20","4,449.18","4,392.67",771
