Date,Value1,Value2,Index
2014-09-16,-2.6657,"3,289.85",525
2014-09-17,0.6697,"3,311.88",526
2014-09-18,0.5414,"3,329.81",527
2014-09-19,0.8497,"3,358.10",528
2014-09-22,-1.4791,"3,308.43",529
2014-09-23,1.131,"3,345.85",530
2014-09-24,1.5242,"3,396.85",531
2014-09-25,-0.0593,"3,394.84",532
2014-09-26,0.2468,"3,403.22",533
2014-09-29,0.7502,"3,428.75",534
2014-09-30,0.4657,"3,444.72",535
2014-10-08,1.3061,"3,489.71",536
2014-10-09,0.2708,"3,499.16",537
2014-10-10,-0.4886,"3,482.06",538
2014-10-13,-0.2131,"3,474.64",539
2014-10-14,-0.2849,"3,464.74",540
2014-10-15,0.5402,"3,483.46",541
2014-10-16,-1.1677,"3,442.78",542
2014-10-17,-0.6814,"3,419.32",543
2014-10-20,1.0327,"3,454.64",544
2014-10-21,-0.8567,"3,425.04",545
2014-10-22,-0.9269,"3,393.29",546
2014-10-23,-1.3076,"3,348.92",547
2014-10-24,0.0534,"3,350.71",548
2014-10-27,0.0336,"3,351.84",549
2014-10-28,2.3183,"3,429.54",550
2014-10-29,1.4088,"3,477.86",551
2014-10-30,0.3479,"3,489.96",552
2014-10-31,0.5948,"3,510.72",553
2014-11-03,0.6462,"3,533.41",554
2014-11-04,-0.2861,"3,523.30",555
2014-11-05,-0.231,"3,515.16",556
2014-11-06,0.473,"3,531.79",557
2014-11-07,-0.5674,"3,511.74",558
2014-11-10,1.5563,"3,566.40",559
2014-11-11,-1.8825,"3,499.26",560
2014-11-12,1.5115,"3,552.15",561
2014-11-13,-0.9261,"3,519.25",562
2014-11-14,-0.1313,"3,514.63",563
2014-11-17,0.4019,"3,528.76",564
2014-11-18,-0.2505,"3,519.92",565
2014-11-19,0.2778,"3,529.70",566
2014-11-20,-0.0828,"3,526.77",567
2014-11-21,1.3922,"3,575.87",568
2014-11-24,1.8213,"3,641.00",569
2014-11-25,1.4597,"3,694.15",570
2014-11-26,0.9828,"3,730.46",571
2014-11-27,0.9314,"3,765.20",572
2014-11-28,0.9671,"3,801.61",573
2014-12-01,-0.3126,"3,789.73",574
2014-12-02,2.3794,"3,879.90",575
2014-12-03,1.2557,"3,928.62",576
2014-12-04,3.1231,"4,051.31",577
2014-12-05,-0.7994,"4,018.93",578
2014-12-08,2.4108,"4,115.81",579
2014-12-09,-4.3843,"3,935.37",580
2014-12-10,3.5241,"4,074.05",581
2014-12-11,0.1135,"4,078.68",582
2014-12-12,0.6669,"4,105.88",583
2014-12-15,1.1579,"4,153.42",584
2014-12-16,1.3795,"4,210.72",585
2014-12-17,0.3616,"4,225.94",586
2014-12-18,-0.3091,"4,212.88",587
2014-12-19,0.0983,"4,217.02",588
2014-12-22,-1.9171,"4,136.18",589
2014-12-23,-1.9544,"4,055.34",590
2014-12-24,-0.6988,"4,027.01",591
2014-12-25,2.4491,"4,125.63",592
2014-12-26,2.0646,"4,210.81",593
2014-12-29,-0.5806,"4,186.36",594
2014-12-30,-0.7987,"4,152.93",595
2014-12-31,1.5911,"4,219.00",596
2015-01-05,2.1733,"4,310.69",597
2015-01-06,0.6551,"4,338.93",598
2015-01-07,0.0682,"4,341.89",599
2015-01-08,-1.4771,"4,277.76",600
2015-01-09,-0.4839,"4,257.06",601
2015-01-12,-1.1199,"4,209.38",602
2015-01-13,0.6487,"4,236.69",603
2015-01-14,-0.3785,"4,220.66",604
2015-01-15,1.9909,"4,304.69",605
2015-01-16,1.0445,"4,349.65",606
2015-01-19,-5.6913,"4,102.10",607
2015-01-20,2.275987862897538,"4,196.97",608
2015-01-21,3.384384906463419,"4,342.22",609
2015-01-22,0.9550363771860737,"4,385.06",610
2015-01-23,-0.3641017641707626,"4,368.62",611
2015-01-26,1.49562488043995,"4,435.87",612
2015-01-27,-0.22442370300964648,"4,425.60",613
2015-01-28,-0.9240432602226607,"4,383.22",614
2015-01-29,-0.888304643493141,"4,342.75",615
2015-01-30,-1.213259681362629,"4,287.84",616
2015-02-02,-1.3334686200636727,"4,227.98",617
2015-02-03,2.01525921114122,"4,317.46",618
2015-02-04,-0.5838717931720705,"4,290.96",619
2015-02-05,-0.6507798166797928,"4,261.62",620
2015-02-06,-1.7240056788042049,"4,184.68",621
2015-02-09,0.1820254242121237,"4,192.66",622
2015-02-10,1.488149428306943,"4,257.97",623
2015-02-11,0.9556159227687907,"4,300.68",624
2015-02-12,0.5073494960373397,"4,323.56",625
2015-02-13,1.1608448313165798,"4,376.23",626
2015-02-16,1.3092192910938234,"4,436.61",627
2015-02-17,0.6759874367900528,"4,468.30",628
2015-02-25,-0.6654623684531599,"4,436.94",629
2015-02-26,1.6198612412052897,"4,512.46",630
2015-02-27,0.5826008194315857,"4,540.14",631
2015-03-02,1.419515321989627,"4,607.95",632
2015-03-03,-1.4513933306067728,"4,537.47",633
2015-03-04,1.0959448432271766,"4,589.90",634
2015-03-05,-0.29192149064709766,"4,575.79",635
2015-03-06,-0.8436295138510445,"4,535.46",636
